cluster,province,district,constituency,ward,residence,ea,is_active
1,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012008,TRUE
2,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012019,TRUE
3,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012031,TRUE
4,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012042,TRUE
5,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012053,TRUE
6,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012064,TRUE
7,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012075,TRUE
8,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012087,TRUE
9,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012098,TRUE
10,Lusaka,Lusaka,Chawama,Chawama,Urban,05051012109,TRUE
11,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042011,TRUE
12,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042024,TRUE
13,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042038,TRUE
14,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042051,TRUE
15,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042065,TRUE
16,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042078,TRUE
17,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042092,TRUE
18,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042105,TRUE
19,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042119,TRUE
20,Lusaka,Lusaka,Chawama,Nkoloma,Urban,05051042132,TRUE
21,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012003,TRUE
22,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012012,TRUE
23,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012021,TRUE
24,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012031,TRUE
25,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012040,TRUE
26,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012049,TRUE
27,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012058,TRUE
28,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012067,TRUE
29,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012076,TRUE
30,Lusaka,Lusaka,Kabwata,Chilenje,Urban,05052012085,TRUE
31,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042005,TRUE
32,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042011,TRUE
33,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042017,TRUE
34,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042024,TRUE
35,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042030,TRUE
36,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042036,TRUE
37,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042042,TRUE
38,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042049,TRUE
39,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042055,TRUE
40,Lusaka,Lusaka,Kabwata,Kamwala,Urban,05052042061,TRUE
41,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022011,TRUE
42,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022023,TRUE
43,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022035,TRUE
44,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022047,TRUE
45,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022059,TRUE
46,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022071,TRUE
47,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022083,TRUE
48,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022095,TRUE
49,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022107,TRUE
50,Lusaka,Lusaka,Kanyama,Garden park,Urban,05053022119,TRUE
51,Lusaka,Lusaka,Kanyama,Harry mwanga nkumbula,Urban,05053032013,TRUE
52,Lusaka,Lusaka,Kanyama,Harry mwanga nkumbula,Urban,05053032031,TRUE
53,Lusaka,Lusaka,Kanyama,Harry mwanga nkumbula,Urban,05053032049,TRUE
