ward,ward_code
CHAMUKA,102101
CHISAMBA,102103
LITETA,102105
MONANGOMBE,102107
MUSWISHI,102109
MUTENGA,102110
IMANSA,105103
KAKWELESA,105105
KAPIRI MPOSHI,105107
KASHITU,105109
LUNCHU,105111
MPUNDE,105113
MUNGA,105115
NCHEMBWE,105118
CHIBOLYO,108101
KAMILAMBO,108103
MAKEBO,108105
MPUSU,108106
MUPONA,108108
NALUSANGA,108109
NAMBALA,108111
CHISALU,108201
NAKASAKA,108206
SHICHANZU,108209
CHAMBISHI,203102
CHATI,203103
DONGWE,203106
KALANGA,203109
LUAPULA,203113
LUBUTO,203115
LULAMBA,203117
NGWESHI,203120
NSOKOLOKO,203121
REMMY CHISUPA,203122
SITWE,203123
TWAITEKA,203124
BALUBA,205101
BUNTUNGWA,205102
BUTEKO,205103
CHAWAMA,205104
FISENGE,205106
JAMES PHIRI,205107
KAMUCHANGA,205108
LEVI CHITO,205109
MIKOMFWA,205110
MPELEMBE,205111
MULUNGUSHI,205113
TWASHUKA,205115
KAFUE,205205
MAPOSA,205209
NGEBE,205212
CHISAPA,208101
IBENGA,208102
KANYENDA,208105
KASHIBA,208107
MPONGWE CENTRAL,208111
MUSOFU,208113
ITAWA,210102
KANTOLOMBA,210103
LUPILI,210105
MUSHILI,210107
TWASHUKA,210108
KANIKI,210204
KAWAMA,210206
PAMODZI,210207
KAFUBU,210402
MUKUBA,210406
DAG HAMMERS JOELD,210301
MAPALO,210304
NKWAZI,210305
TWAPIA,210306
YENGWE,210307
DILIKA,305101
KAPATA,305103
CHIKANDO,305201
MAKANGILA,305204
MWAMI,305205
DIWA,308103
KAMIMBA,308106
LUKUSUZI,308109
WACHITANGACHI,308111
CHAMILALA,312101
CHIWEZA,312104
KATIPA,312106
MOMBE,312109
MSIMA,312111
NGOZI,312115
NYIMBA,312113
MBANDE,315104
MLAWE,315106
VUBWI,315108
ZOZWE,315109
CHIBAMBA,402101
CHIENGE,402102
CHIPUNGU,402104
CHITUTU,402106
KALOBWA,402108
KATETE,402110
LUNCHINDA,402113
KAOLE,407102
MANSA,407106
MISAKALALA,407107
MYULU,407110
CHANSUNSU,407201
CHILYAPA,407210
FIMPULU,407204
LUKANGABA,407205
MUCHINKA,407207
MUSABA,407209
MAMBILIMA,410105
MUNWA,410108
NSOFI,410110
CHACHACHA,410201
CHIWASHA,410202
KAOMBE,410203
KAPELA,410205
KASENGU,410206
LUCHE,410208
NKANGA,410210
CHAINDA,502101
CHINKULI,502103
CHONGWE,502104
KANAKANTAPA,502105
KASENGA,502108
LWIMBA,502111
MADIDO,502112
MANYIKA,502113
NJOLWE,502119
PALABANA,502121
Chawama,505101
Nkoloma,505104
CHILENJE,505201
KAMWALA,505204
GARDEN PARK,505302
Harry Mwanga Nkumbula,505303
Kanyama,505304
MAKENI VILLA,505305
INDEPENDENCE,505401
KABULONGA,505402
CHAISA,505501
KABANANA,505503
MPULUNGU,505504
RAPHAEL CHOTA,505507
ROMA,505508
KAPWEPWE,505601
LIMA,505602
MATERO,505603
MUCHINGA,505604
MWEMBESHI,505605
KALIKILIKI,505703
KALINGALINGA,505704
MTENDERE,505705
MUNALI,505706
CHEWE SHIMFWAMBA,603102
CHINAMA,603104
LUBALESHI,603105
MBATI,603108
MUNIKASHI,603110
CHIWANZA,607101
IKUMBI,607102
ILONDA,607103
MPANDE,607106
MUSYANI,607109
NAKONDE,607112
OLD FIFE,607114
INGWE,805102
KAIMBWE,805104
KALOMBE,805105
KAMAKUKU,805107
KAMATETE,805108
KAMUSONGOLWA,805109
KANTENDA,805111
KIKONKOMENE,805113
LUBOFU,805114
MUKINDA,805118
MUKUNASHI,805119
NKENYAUNA,805121
NSELAUKE,805122
SHIBENDE,805124
KAMALAMBA,810101
KAZHIBA,810103
KIMALE,810105
KIMASALA,810106
KYALALANKUBA,810109
KYAWAMA,810110
BUSEKO,703102
JULIA CHIKAMONEKA,703105
KASENGA,703106
LUKULU,703107
MULILANSOLO,703109
CHIBUNDU,703202
CHUMBA,703203
KUPUMAULA,703206
MUKANGA,703209
CHILUMBA,709102
CHITMBWA,709104
ISUNGA,709106
KAPEMBWA,709109
MANKONGA,709111
MPULUNGU CENTRAL,709112
MUSENGENZI,709114
TANGANYIKA,709116
VYAMBA,709117
CHIMBILI,712102
CHOZI,712104
LAPISHA,712106
MUKOLOLO,712109
MWILUZI,712110
CHIRUNDU,902101
CHIRUNDU WEST,902102
KAPULULIRA,902105
MUSHUNGU,902108
NJAME,902110
KANCHELE,907103
KATAPAZI,907104
KAZUNGULA CENTRAL,907106
MANDIA,907107
MUSOKOTWANE,907110
NGUBA,907111
NYAWA,907113
SIMANGO,907116
BAAMBWE,911101
ITAPA,911104
KANTENGWA,911106
MANDONDO,911108
MOOBOLA,911110
NAKAMBOMA,911111
NAMUSONDE,911113
NDEMA,911115
INKUNIKILA,1004101
LUAMPA,1004103
MBANYUTU,1004106
MWANAWASA,1004108
NAMANDO,1004110
NKENGA,1004111
KAMBAI,1010101
LYAMAKUMBA,1010105
MAKOKA,1010106
MUOYO,1010108
SHEKELA,1010110
SILOWANA,1010111
LIUMENA,1015102
LUETI,1015104
LWAMBI,1015106
MAALA,1015107
MUTALA,1015109
NENGU,1015112
NG'UMBELE,1015113
TUUWA,1015114
